1.835|-0.2087944;1.708924;-3.652171;-0.9972296;-0.0724548;-0.01604286
1.883|-0.2159644;1.711713;-3.663275;-0.9028354;-0.1152768;-0.4142137
1.927|-0.219811;1.714796;-3.676179;-0.8671957;-0.1054372;-0.4866358
1.977|-0.2191366;1.717602;-3.685823;-0.8971183;-0.0740294;-0.4355099
2.025|-0.2157425;1.718764;-3.691384;-0.9077947;-0.06244591;-0.4147139
2.075|-0.2209393;1.718507;-3.666404;-0.9076812;-0.09641128;-0.4084201
2.119|-0.2157823;1.719443;-3.684993;-0.9075777;-0.08584684;-0.4109874
2.170|-0.218182;1.719414;-3.674585;-0.9026675;-0.08743383;-0.4213299
2.219|-0.2063717;1.719021;-3.694524;-0.9040845;-0.06934401;-0.4216559
2.264|-0.2106713;1.717753;-3.681042;-0.8992881;-0.08788209;-0.4284235
2.308|-0.2062649;1.717149;-3.685464;-0.8979647;-0.07139078;-0.4342146
2.365|-0.2046556;1.716929;-3.684577;-0.8962565;-0.07557665;-0.4370222
2.418|-0.1992661;1.717714;-3.694194;-0.8992437;-0.06998689;-0.4318013
2.462|-0.2021845;1.718022;-3.686331;-0.8933502;-0.07055335;-0.4437563
2.510|-0.1994456;1.719717;-3.694134;-0.9824851;-0.05484078;-0.1780004
2.556|-0.201424;1.720353;-3.695161;-0.9924359;-0.05676711;0.1088324
2.607|-0.2095476;1.720788;-3.67432;-0.9966931;-0.05555078;0.05908947
2.646|-0.2105857;1.721425;-3.663509;-0.997502;-0.06235888;0.03311262
2.700|-0.2092304;1.722863;-3.663035;-0.9963249;-0.07802216;0.03499679
2.760|-0.208395;1.724386;-3.684505;-0.9977399;-0.04126805;0.05278175
2.821|-0.2102661;1.72493;-3.704763;-0.994934;-0.02702383;0.09670229
2.879|-0.2147262;1.724815;-3.712607;-0.97852;0.03360536;0.2033289
2.941|-0.2172844;1.724486;-3.696776;-0.986159;0.02280502;0.1641715
2.987|-0.2196466;1.723645;-3.703295;-0.9901139;0.01382265;0.1395182
3.041|-0.2228678;1.720985;-3.67703;-0.9113767;-0.06647924;-0.4061484
3.082|-0.2231433;1.720896;-3.679929;-0.8989125;-0.08356347;-0.4300783
3.135|-0.2257081;1.720181;-3.665688;-0.8965235;-0.08342478;-0.4350566
3.187|-0.2205535;1.721185;-3.702125;-0.9081348;-0.0925996;-0.4082931
3.233|-0.2212565;1.721251;-3.688094;-0.906123;-0.08928039;-0.4134412
3.285|-0.225142;1.722077;-3.666697;-0.8950795;-0.09867974;-0.4348408
3.331|-0.2227949;1.723173;-3.66586;-0.9349523;-0.1294508;-0.3302886
3.385|-0.2150674;1.724194;-3.69118;-0.9935828;-0.1130293;0.003055249
3.430|-0.2149089;1.723152;-3.681734;-0.9362131;-0.122162;0.3294627
3.476|-0.2134237;1.718987;-3.635847;-0.8265117;-0.1837517;0.5320492
3.518|-0.2029582;1.716809;-3.623971;-0.7080944;-0.2255496;0.6691061
3.565|-0.1902476;1.714112;-3.612738;-0.5349627;-0.246921;0.807977
3.614|-0.1808503;1.710469;-3.602449;-0.2861782;-0.2913014;0.9128063
3.655|-0.1688354;1.709767;-3.597857;-0.3107198;-0.3061059;0.8998458
3.700|-0.1727739;1.709082;-3.605503;-0.2770547;-0.2894864;0.9162049
3.752|-0.1499784;1.70792;-3.59054;-0.3318344;-0.2825908;0.8999981
3.795|-0.143855;1.707854;-3.589699;-0.3372164;-0.3013249;0.8918938
3.842|-0.1460439;1.707641;-3.59231;-0.3320225;-0.2953036;0.8958343
3.888|-0.1724437;1.707625;-3.605762;-0.3089239;-0.2650623;0.9133958
3.929|-0.1801026;1.707479;-3.608793;-0.2881675;-0.2492091;0.9245747
3.986|-0.1708407;1.706784;-3.603515;-0.2919318;-0.2747848;0.9161114
4.046|-0.1682358;1.706747;-3.601826;-0.30006;-0.2675693;0.9156139
4.109|-0.1724533;1.707223;-3.604933;-0.5704531;-0.2488789;0.7826932
4.167|-0.1563728;1.707759;-3.596775;-0.569822;-0.258464;0.7800498
4.217|-0.1561625;1.708994;-3.594822;-0.5854037;-0.2553732;0.7694659
4.270|-0.1861943;1.711947;-3.614942;-0.6383798;-0.274903;0.7189545
4.319|-0.220041;1.715159;-3.644718;-0.800492;-0.213314;0.5600824
4.375|-0.1912762;1.713605;-3.611692;-0.942292;-0.159673;0.2942185
4.424|-0.2237941;1.715212;-3.646049;-0.9413558;-0.1186087;0.3158308
4.469|-0.2142368;1.715223;-3.629267;-0.9350383;-0.1364081;0.3272086
4.517|-0.2389294;1.716443;-3.674485;-0.9266401;-0.09201542;0.3644912
4.562|-0.233612;1.716975;-3.665064;-0.9890407;-0.0743994;0.127462
4.607|-0.23932;1.71665;-3.674155;-0.9613484;-0.06041152;-0.2686134
4.656|-0.2404391;1.717704;-3.68691;-0.8590995;-0.1006246;-0.5018036
4.705|-0.2410342;1.717571;-3.731029;-0.8813019;-0.02944632;-0.4716124
4.749|-0.2394721;1.719344;-3.710209;-0.8816547;-0.03107835;-0.4708413
4.798|-0.2330208;1.720691;-3.725864;-0.9060261;-0.04987768;-0.4202424
4.844|-0.2387849;1.721662;-3.704265;-0.8965238;-0.07852471;-0.435943
